rank,team,elo_rating,rating_date,source,source_original
1,Spain,2129,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
2,Argentina,2128,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
3,France,2084,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
4,England,2024,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
5,Portugal,1989,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
6,Colombia,1982,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
7,Brazil,1978,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
8,Netherlands,1944,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
9,Germany,1939,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
10,Norway,1929,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
11,Croatia,1912,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
12,Japan,1910,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
13,Ecuador,1890,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
14,Mexico,1881,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
15,Belgium,1879,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
16,Uruguay,1870,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
17,Denmark,1869,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
17,Italy,1869,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
19,Switzerland,1865,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
20,Austria,1857,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
21,Turkey,1849,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
22,Morocco,1840,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
23,Senegal,1839,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
23,Australia,1839,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
25,Scotland,1794,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
26,South Korea,1786,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
27,United States,1780,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
27,Paraguay,1780,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
27,Ukraine,1780,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
30,Russia,1772,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
31,Nigeria,1767,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
31,Canada,1767,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
33,Algeria,1759,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
34,Iran,1756,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
35,Sweden,1755,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
36,Greece,1744,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
37,Ivory Coast,1743,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
38,Serbia,1734,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
39,Venezuela,1733,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
40,Panama,1730,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
41,Chile,1717,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
42,Kosovo,1715,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
43,Uzbekistan,1714,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
44,Czech Republic,1712,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
45,Egypt,1711,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
46,Poland,1710,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
46,Hungary,1710,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
48,Peru,1700,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
49,Ireland,1699,2026-06-17,https://www.international-football.net/elo-ratings-table?day=17&month=06&year=2026,https://www.eloratings.net/
